sample	isolate	collection_date	country	province	species
Reference	Wuhan-Hu-1	2019-12	China	Hubei	SARS-CoV-2
OL674081	Rs7952	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
OL674080	Rs7931	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
OL674079	Rs7924	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
OL674078	Rs7921	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
OL674077	Ra7909	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
OL674076	Rs7907	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
OL674075	Rs7905	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
OL674074	Rs7896	2015-05-29	China	Yunnan, Puer	SARS-like-CoV
MN996532	RaTG13	2013-07-24	China	NA	SARS-like-CoV
MG772934	bat-SL-CoVZXC21	2015-07	China	NA	SARS-like-CoV
MG772933	bat-SL-CoVZC45	2017-02	China	NA	SARS-like-CoV
MT782115	icHKU3-SRBD-MA	2008-12-16	USA	NA	SARS-like-CoV
MT782114	icHKU3-SRBD	2008-12-16	USA	NA	SARS-like-CoV
JX163928	Tor2/FP1-10895	2010-02-05	USA	NA	SARS-CoV
JX163927	Tor2/FP1-10851	2010-02-05	USA	NA	SARS-CoV
JX163926	Tor2/FP1-10912	2010-02-10	USA	NA	SARS-CoV
JX163925	Tor2/FP1-10895	2010-02-05	USA	NA	SARS-CoV
JX163924	Tor2/FP1-10851	2010-02-05	USA	NA	SARS-CoV
JX163923	Tor2/FP1-10912	2010-02-10	USA	NA	SARS-CoV
KU973692	F46	2012	China	NA	SARS-like-CoV
KF294457	Longquan-140	2012	China	NA	SARS-like-CoV
KF294456	Jiyuan-331	2012	China	NA	SARS-like-CoV
KF294455	Anlong-111	2012	China	NA	SARS-like-CoV
MK062184	icSARS-C7-MA	2017-06-01	USA	NA	SARS-CoV
MK062183	icSARS-C7	2017-05-31	USA	NA	SARS-CoV
MK062182	icSARS-C3-MA	2017-05-30	USA	NA	SARS-CoV
MK062181	icSARS-C3	2017-05-29	USA	NA	SARS-CoV
MK062180	icSARS-MA	2017-05-28	USA	NA	SARS-CoV
MK062179	icSARS	2017-05-27	USA	NA	SARS-CoV
KY417152	Rs9401	2015-10-16	China	NA	SARS-like-CoV
KY417151	Rs7327	2014-10-24	China	NA	SARS-like-CoV
KY417150	Rs4874	2013-07-21	China	NA	SARS-like-CoV
KY417149	Rs4255	2013-04-17	China	NA	SARS-like-CoV
KY417148	Rs4247	2013-04-17	China	NA	SARS-like-CoV
KY417147	Rs4237	2013-04-17	China	NA	SARS-like-CoV
KY417146	Rs4231	2013-04-17	China	NA	SARS-like-CoV
KY417145	Rf4092	2012-09-18	China	NA	SARS-like-CoV
KY417144	Rs4084	2012-09-18	China	NA	SARS-like-CoV
KY417143	Rs4081	2012-09-18	China	NA	SARS-like-CoV
KY417142	As6526	2014-05-12	China	NA	SARS-like-CoV
KJ473816	BtRs-YN2013	2013	China	NA	SARS-like-CoV
KJ473815	BtRs-GX2013	2013	China	NA	SARS-like-CoV
KJ473814	BtRs-HuB2013	2013	China	NA	SARS-like-CoV
KJ473813	BtRf-SX2013	2013	China	NA	SARS-like-CoV
KJ473812	BtRf-HeB2013	2013	China	NA	SARS-like-CoV
KJ473811	BtRf-JL2012	2012	China	NA	SARS-like-CoV
JX993988	Cp/Yunnan2011	2011	China	NA	SARS-like-CoV
JX993987	Rp/Shaanxi2011	2011-09	China	NA	SARS-like-CoV
KP886809	YNLF_34C	2013-05-23	China	NA	SARS-like-CoV
KP886808	YNLF_31C	2013-05-23	China	NA	SARS-like-CoV
KF514423	c3P20	08-Jul-2009	USA	Nashville, TN	SARS-CoV
KF514422	c1.3P20	01-Oct-2010	USA	Nashville, TN	SARS-CoV
KF514421	c1.2P20	01-Oct-2010	USA	Nashville, TN	SARS-CoV
KF514420	c5P10	19-May-2009	USA	Nashville, TN	SARS-CoV
KF514419	c1P10	19-May-2009	USA	Nashville, TN	SARS-CoV
KF514418	c3P1	18-Mar-2009	USA	Nashville, TN	SARS-CoV
KF514417	c5.3P20	01-Oct-2010	USA	Nashville, TN	SARS-CoV
KF514416	c5.8P20	01-Oct-2010	USA	Nashville, TN	SARS-CoV
KF514415	c1.7P20	01-Oct-2010	USA	Nashville, TN	SARS-CoV
KF514414	c5P20	08-Jul-2009	USA	Nashville, TN	SARS-CoV
KF514413	c1.6P20	01-Oct-2010	USA	Nashville, TN	SARS-CoV
KF514412	c13P20	08-Jul-2009	USA	Nashville, TN	SARS-CoV
KF514411	c13P10	19-May-2009	USA	Nashville, TN	SARS-CoV
KF514410	c8P20	08-Jul-2009	USA	Nashville, TN	SARS-CoV
KF514409	c2P20	08-Jul-2009	USA	Nashville, TN	SARS-CoV
KF514408	c2P1	18-Mar-2009	USA	Nashville, TN	SARS-CoV
KF514407	c5.7P20	01-Oct-2010	USA	Nashville, TN	SARS-CoV
