sample	isolate	date	country	province
Reference	Wuhan-Hu-1	2019-12-XX	China	Hubei
MN994467	SARS-CoV-2/human/USA/CA-CDC-02993471-001/2020	23-Jan-2020	USA	CA
MN988713	SARS-CoV-2/human/USA/IL-CDC-02983522-001/2020	21-Jan-2020	USA	Illinois
MW446861	SARS-CoV-2/human/USA/MD-MDH-0525/2020	2020-12-01	USA	MD
MW341443	SARS-CoV-2/human/KHM/Kunming_kms-2/2020	2020-03-21	Cambodia	Phnom Penh
MW264424	SARS-CoV-2/human/USA/Kunming_kms-6/2020	2020-03-25	USA	New York
MW255832	SARS-CoV-2/human/GBR/Kunming_kms-3/2020	2020-03-29	United Kingdom	London
MG772934	bat-SL-CoVZXC21	Jul-2015	China	NA
MG772933	bat-SL-CoVZC45	Feb-2017	China	NA
MT396241	SARS-CoV-2/human/CHN/YN-0306-466/2020	2020-03-06	China	NA
MT186683	SARS-CoV-2/human/HKG/HK20/2020	2020-01	Hong Kong	NA
MT226610	SARS-CoV-2/human/CHN/KMS1/2020	20-Jan-2020	China	NA
MT093571	SARS-CoV-2/human/SWE/01/2020	2020-02-07	Sweden	NA
MT072688	SARS-CoV-2/human/NPL/61-TW/2020	2020-01-13	Nepal	NA
MT049951	SARS-CoV-2/human/CHN/Yunnan-01/2020	17-Jan-2020	China	Yunnan
MN996531	WIV07	30-Dec-2019	China	Wuhan
MN996530	WIV06	30-Dec-2019	China	Wuhan
MN996529	WIV05	30-Dec-2019	China	Wuhan
MN996528	WIV04	30-Dec-2019	China	Wuhan
MN996527	WIV02	30-Dec-2019	China	Wuhan
MN908947	Wuhan-Hu-1	2019-12	China	NA
KY417152	Rs9401	16-Oct-2015	China	NA
KY417151	Rs7327	24-Oct-2014	China	NA
KY417148	Rs4247	17-Apr-2013	China	NA
KY417147	Rs4237	17-Apr-2013	China	NA
KY417146	Rs4231	17-Apr-2013	China	NA
KY417145	Rf4092	18-Sep-2012	China	NA
KY417144	Rs4084	18-Sep-2012	China	NA
KY417143	Rs4081	18-Sep-2012	China	NA
KY417142	As6526	12-May-2014	China	NA
KP886809	YNLF_34C	23-May-2013	China	NA
KF569996	LYRa11	2011	China	NA
KC881006	Rs3367	19-Mar-2012	China	NA
KC881005	RsSHC014	17-Apr-2011	China	NA
KF367457	WIV1	Sep-2012	China	NA
AY485277	NA	NA	NA	NA
GQ153542	NA	NA	NA	NA
FJ588686	Rs672	2006	China	NA
FJ959407	A001	NA	China	NA
AY279354	BJ04	NA	NA	NA
AY278488	BJ01	NA	NA	NA
AY572038	civet020	NA	China	Southern China
AY572034	civet007	NA	China	Southern China
AP006560	TWS	NA	NA	NA
AP006557	TWH	NA	NA	NA
AY613950	NA	NA	China	NA
AY613947	NA	NA	China	NA
AY568539	GZ0401	NA	China	December 22, 2003
AY559094	NA	NA	Singapore	NA
AY559082	NA	NA	Singapore	NA
AY559081	NA	NA	Singapore	NA
